sex,age,juv_fel_count,juv_misd_count,priors_count,c_charge_degree,is_recid,African-American,Asian,Caucasian,Hispanic,Native American,Other,probability
0,25,0,0,1,1,1,0,0,0,1,0,0,0.49333333333333335
1,22,0,1,2,0,0,0,0,1,0,0,0,0.6721666666666667
0,24,0,0,0,1,1,1,0,0,0,0,0,0.4955171217671217
0,42,0,0,5,0,0,1,0,0,0,0,0,0.18571428571428572
1,42,0,0,0,0,1,0,0,1,0,0,0,0.5058333333333332
1,52,0,0,21,0,1,1,0,0,0,0,0,0.65
1,56,0,0,1,0,0,1,0,0,0,0,0,0.6518333333333334
0,50,0,0,0,1,0,0,0,1,0,0,0,0.1025
1,20,0,0,0,1,1,1,0,0,0,0,0,0.935
0,41,0,0,1,0,0,1,0,0,0,0,0,0.03133333333333333
0,39,0,0,1,1,0,0,0,0,1,0,0,0.19633333333333333
1,21,0,0,1,0,1,1,0,0,0,0,0,0.45214385614385605
1,31,0,0,0,1,0,1,0,0,0,0,0,0.06333333333333334
0,36,0,0,0,0,0,1,0,0,0,0,0,0.05952380952380953
0,21,0,0,3,0,1,1,0,0,0,0,0,0.9779166666666668
0,46,0,0,0,1,0,0,0,1,0,0,0,0.08358333333333334
0,52,0,0,2,1,0,1,0,0,0,0,0,0.29625
0,20,0,0,0,0,0,0,0,0,0,0,1,0.9263174603174603
0,43,0,0,15,1,1,1,0,0,0,0,0,0.8
0,51,0,0,8,1,1,1,0,0,0,0,0,0.7930000000000001
0,57,0,0,0,1,0,0,0,1,0,0,0,0.4880396825396827
0,45,0,0,15,0,1,1,0,0,0,0,0,0.99
0,25,0,0,2,1,1,0,0,1,0,0,0,0.4725
1,34,0,0,1,0,1,0,0,1,0,0,0,0.03
0,25,0,0,2,0,0,1,0,0,0,0,0,0.23918650793650786
0,38,0,0,3,0,1,0,0,1,0,0,0,0.15
0,34,0,0,2,0,1,0,0,1,0,0,0,0.39819047619047615
0,24,0,0,1,0,0,0,0,1,0,0,0,0.015
0,35,0,0,7,0,0,0,0,0,1,0,0,0.72
1,54,0,0,1,1,0,0,0,1,0,0,0,0.03333333333333333
0,29,0,0,0,0,1,1,0,0,0,0,0,0.16474783549783548
0,21,0,1,4,1,1,0,0,1,0,0,0,0.89
0,26,0,0,4,0,1,1,0,0,0,0,0,0.99
0,52,0,0,1,0,0,0,0,1,0,0,0,0.09366666666666668
0,20,1,1,4,0,1,1,0,0,0,0,0,0.84
1,34,0,0,0,0,1,0,0,1,0,0,0,0.386
0,21,1,2,3,0,1,1,0,0,0,0,0,0.565
1,23,0,0,2,0,1,1,0,0,0,0,0,0.82
1,26,0,0,9,1,1,1,0,0,0,0,0,0.77
0,26,0,0,11,0,1,0,0,0,0,1,0,0.8366666666666666
0,37,1,6,13,0,0,0,0,1,0,0,0,0.705
0,31,0,0,6,1,0,0,0,1,0,0,0,0.93
0,25,20,0,24,0,1,0,0,0,0,0,1,0.89
0,34,0,0,0,0,0,1,0,0,0,0,0,0.46344624819624836
1,25,0,0,0,0,0,0,0,0,0,0,1,0.27
0,31,0,0,8,0,1,0,0,0,1,0,0,0.8975
1,58,0,0,3,1,0,1,0,0,0,0,0,0.02083333333333333
0,36,0,0,0,0,0,1,0,0,0,0,0,0.05952380952380953
0,31,0,0,0,1,0,0,0,1,0,0,0,0.725
1,25,0,0,0,1,0,1,0,0,0,0,0,0.05866666666666667
1,24,0,0,0,0,0,0,0,0,0,0,1,0.1825
0,33,0,0,18,0,1,1,0,0,0,0,0,0.95
1,36,0,0,0,1,0,0,0,0,1,0,0,0.03
1,36,0,0,0,1,0,1,0,0,0,0,0,0.01
1,37,0,0,2,1,0,0,0,0,0,0,1,0.09
0,36,0,0,0,1,0,0,0,1,0,0,0,0.3598333333333333
0,32,0,0,2,0,0,0,0,1,0,0,0,0.7633333333333334
0,31,0,0,0,0,0,0,0,1,0,0,0,0.23461507936507928
0,26,0,0,0,0,1,0,0,0,0,0,1,0.855
0,29,0,0,2,0,0,0,0,1,0,0,0,0.02
0,29,0,0,4,1,0,1,0,0,0,0,0,0.8066666666666665
0,28,0,0,1,0,0,1,0,0,0,0,0,0.6691666666666667
0,21,0,0,2,0,1,1,0,0,0,0,0,0.9638105228105228
0,29,0,0,1,0,1,1,0,0,0,0,0,0.8020873015873015
0,22,0,0,2,0,1,1,0,0,0,0,0,0.9744563492063492
0,32,0,0,2,1,1,0,0,1,0,0,0,0.785
0,23,0,0,0,0,0,1,0,0,0,0,0,0.12083261183261178
0,24,0,0,2,0,1,1,0,0,0,0,0,0.9246190476190478
0,37,0,0,0,1,0,0,0,1,0,0,0,0.047
0,63,0,0,2,0,0,0,0,1,0,0,0,0.09
0,20,1,0,2,0,1,1,0,0,0,0,0,0.8575
0,40,0,0,10,0,1,0,0,1,0,0,0,0.455
0,33,0,0,0,1,0,0,0,1,0,0,0,0.6261904761904762
0,31,0,0,2,1,0,0,0,1,0,0,0,0.9043333333333333
0,52,0,0,23,0,1,1,0,0,0,0,0,0.8
0,33,0,0,3,0,0,1,0,0,0,0,0,0.8373333333333332
0,37,0,0,0,0,0,1,0,0,0,0,0,0.06983333333333333
0,29,0,0,0,0,0,1,0,0,0,0,0,0.16474783549783548
0,33,0,0,1,1,1,1,0,0,0,0,0,0.29916666666666664
0,25,0,0,9,0,1,1,0,0,0,0,0,0.22
0,21,0,0,0,0,1,0,0,0,1,0,0,0.3555833333333333
0,22,0,0,0,0,0,0,0,0,1,0,0,0.7721501670843778
0,23,0,0,0,0,1,1,0,0,0,0,0,0.12083261183261178
0,36,0,0,11,0,1,1,0,0,0,0,0,0.46
0,31,0,0,6,1,0,0,0,1,0,0,0,0.93
0,29,0,0,7,0,1,1,0,0,0,0,0,0.5495238095238094
0,39,0,0,5,0,0,1,0,0,0,0,0,0.16571428571428573
0,34,0,0,10,0,0,1,0,0,0,0,0,0.97
0,29,0,0,1,0,0,0,0,1,0,0,0,0.005
0,29,0,0,0,0,0,1,0,0,0,0,0,0.16474783549783548
0,54,0,0,2,1,1,0,0,1,0,0,0,0.4286666666666667
0,38,0,0,5,0,1,0,0,1,0,0,0,0.045
0,24,0,0,2,0,1,1,0,0,0,0,0,0.9246190476190478
0,22,0,0,3,0,0,0,0,0,0,0,1,0.665142857142857
1,40,0,0,15,0,1,1,0,0,0,0,0,0.9
0,56,0,0,4,0,0,1,0,0,0,0,0,0.16583333333333336
0,27,0,0,8,0,1,1,0,0,0,0,0,0.985
0,24,0,0,3,0,1,0,0,1,0,0,0,0.33333333333333326
0,26,0,0,0,1,0,0,0,1,0,0,0,0.34323987123987115
0,26,0,0,5,0,1,0,0,1,0,0,0,0.89
0,54,0,0,6,0,0,0,0,1,0,0,0,0.7975
0,44,0,0,2,0,0,1,0,0,0,0,0,0.18416666666666665
0,22,0,0,0,1,1,1,0,0,0,0,0,0.22524437988911664
0,23,0,0,1,1,0,1,0,0,0,0,0,0.33428787878787863
0,20,0,0,0,0,0,1,0,0,0,0,0,0.6030236549226486
0,35,0,0,1,1,1,0,0,0,1,0,0,0.14133333333333334
0,20,0,0,3,0,1,0,0,0,1,0,0,0.91
1,36,0,0,0,1,0,0,0,1,0,0,0,0.065
1,40,0,0,7,1,0,1,0,0,0,0,0,0.46
1,41,0,0,0,1,0,0,0,1,0,0,0,0.002
0,52,0,0,7,0,1,1,0,0,0,0,0,0.4215
0,30,0,0,4,0,0,0,0,1,0,0,0,0.4273333333333333
0,51,0,0,0,0,1,0,0,0,0,0,1,0.07
0,25,0,0,7,0,1,0,0,1,0,0,0,0.48966666666666664
0,30,0,0,3,0,0,1,0,0,0,0,0,0.9327777777777778
0,57,0,0,2,0,0,1,0,0,0,0,0,0.45400000000000007
0,35,0,0,0,0,0,1,0,0,0,0,0,0.2458968253968254
1,24,0,0,1,0,0,0,0,1,0,0,0,0.015
0,46,0,0,1,1,0,0,0,0,1,0,0,0.44699999999999995
0,22,0,0,1,1,1,1,0,0,0,0,0,0.8645000000000002
1,21,0,1,2,0,0,1,0,0,0,0,0,0.41
0,23,0,0,2,0,1,0,0,1,0,0,0,0.44966666666666677
0,33,0,0,9,1,1,1,0,0,0,0,0,0.885
0,29,0,0,6,1,0,1,0,0,0,0,0,0.9841666666666667
0,62,0,0,0,1,0,0,0,1,0,0,0,0.0
0,28,0,0,1,0,1,1,0,0,0,0,0,0.6691666666666667
0,53,0,0,6,0,1,1,0,0,0,0,0,0.3392142857142857
0,45,0,0,2,0,0,0,0,1,0,0,0,0.08033333333333331
0,57,0,0,8,1,1,1,0,0,0,0,0,0.34049999999999997
0,22,0,0,0,1,1,0,0,0,1,0,0,0.15333333333333332
0,23,0,0,0,1,0,0,0,0,1,0,0,0.35850000000000004
0,50,0,0,11,1,0,0,0,0,1,0,0,0.52
0,41,0,0,2,0,0,0,0,1,0,0,0,0.3353888888888888
0,22,0,1,2,0,1,0,0,1,0,0,0,0.9179999999999999
0,50,0,0,1,0,0,1,0,0,0,0,0,0.195
0,24,0,0,4,0,1,0,1,0,0,0,0,0.7125
0,31,2,0,6,0,0,1,0,0,0,0,0,0.8
0,22,0,0,1,0,1,0,0,0,0,0,1,0.591
0,69,0,0,0,0,0,0,0,0,0,0,1,0.0
0,22,0,4,7,0,1,1,0,0,0,0,0,0.81
0,61,0,0,1,1,0,0,0,1,0,0,0,0.11
0,55,0,0,0,0,0,0,0,1,0,0,0,0.026666666666666665
0,26,0,0,2,0,0,0,0,1,0,0,0,0.266015873015873
0,33,0,0,21,1,1,1,0,0,0,0,0,0.96
1,51,0,0,16,0,0,1,0,0,0,0,0,0.7
1,20,0,0,0,1,1,0,0,1,0,0,0,0.14991666666666664
0,30,0,0,0,0,1,1,0,0,0,0,0,0.6446666666666665
0,24,0,0,5,0,1,0,0,1,0,0,0,0.98
0,38,0,0,4,1,1,0,0,1,0,0,0,0.3753571428571428
0,34,3,1,9,0,1,1,0,0,0,0,0,0.33
0,28,0,0,2,0,1,1,0,0,0,0,0,0.945288961038961
