Race,Sex,Education,Age,Num. People,log-income,Metro,OWNER,probability
White,Male,Bachelors or Greater,52,3,5.409933123331294,Metro,1.0,0.75526285
White,Female,Bachelors or Greater,80,2,5.303196057420489,Metro,1.0,0.6831103
White,Male,Bachelors or Greater,72,2,4.825426117767823,Metro,1.0,0.7617788
Black,Female,Less than College ,60,1,4.544068044350276,Metro,0.0,0.39595655
White,Female,Less than College ,80,2,4.309630167425898,Metro,0.0,0.5970053
Black,Male,Less than College ,30,2,4.158362492095249,Metro,0.0,0.23280793
White,Female,Bachelors or Greater,60,1,4.819543935541868,Metro,1.0,0.6814017
White,Female,Bachelors or Greater,50,3,4.909556029241175,Metro,1.0,0.63702303
White,Female,Less than College ,55,1,4.093421685162235,Metro,0.0,0.31151393
White,Female,Less than College ,35,4,4.756636108245848,Metro,0.0,0.4926355
White,Female,Less than College ,68,1,4.390935107103379,Metro,0.0,0.55531573
White,Male,Bachelors or Greater,54,2,5.146128035678238,Metro,1.0,0.75448257
White,Female,Bachelors or Greater,62,2,5.016615547557177,Metro,1.0,0.75849634
Black,Male,Less than College ,38,1,4.633468455579586,Metro,1.0,0.3173251
White,Female,Less than College ,41,4,4.518513939877887,Metro,0.0,0.47946915
White,Male,Bachelors or Greater,72,3,5.6020599913279625,Metro,1.0,0.7954828
White,Female,Less than College ,72,1,4.041392685158225,Metro,0.0,0.36821395
White,Female,Bachelors or Greater,24,2,4.623249290397901,Metro,0.0,0.198299
Black,Female,Less than College ,78,1,4.220108088040055,Metro,0.0,0.45490035
White,Male,Less than College ,60,3,5.585460729508501,Metro,1.0,0.7831876
White,Male,Less than College ,39,4,4.770852011642144,Metro,1.0,0.47667423
Black,Male,Less than College ,28,1,4.477121254719663,Metro,0.0,0.23969652
White,Female,Less than College ,60,3,4.47567118832443,Metro,0.0,0.5009293
White,Female,Less than College ,79,1,4.767155866082181,Metro,1.0,0.6904679
White,Male,Less than College ,51,1,4.944482672150168,Metro,1.0,0.5441945
White,Female,Less than College ,40,5,4.903089986991944,Metro,1.0,0.68667734
White,Male,Less than College ,60,2,4.740362689494244,Metro,0.0,0.7492127
White,Female,Bachelors or Greater,57,2,4.3979400086720375,Metro,0.0,0.5688866
White,Male,Bachelors or Greater,32,1,4.230448921378274,Metro,0.0,0.3960471
White,Male,Less than College ,63,3,4.950608224784231,Metro,1.0,0.6494696
Black,Female,Less than College ,40,4,4.9084850188786495,Metro,1.0,0.45117277
White,Female,Bachelors or Greater,56,1,4.113943352306837,Metro,1.0,0.3784589
White,Male,Less than College ,53,6,4.515211304327802,Urban,1.0,0.58798414
White,Female,Bachelors or Greater,31,4,5.230448921378274,Metro,0.0,0.45310107
Black,Male,Less than College ,33,4,4.361727836017593,Metro,0.0,0.26887408
White,Female,Less than College ,71,1,4.518513939877887,Metro,1.0,0.64766705
White,Female,Bachelors or Greater,70,1,4.3979400086720375,Metro,1.0,0.71003705
Black,Female,Less than College ,43,2,4.544068044350276,Metro,0.0,0.36028665
White,Female,Less than College ,80,1,4.204119982655925,Metro,1.0,0.5451603
White,Female,Bachelors or Greater,50,1,4.361727836017593,Metro,0.0,0.44721162
White,Male,Less than College ,64,2,5.056904851336473,Metro,1.0,0.6830156
White,Male,Less than College ,38,1,4.505149978319906,Metro,1.0,0.401005
White,Male,Less than College ,51,2,4.553883026643875,Metro,0.0,0.52652085
White,Female,Less than College ,58,2,4.698970004336019,Metro,1.0,0.6958393
White,Male,Less than College ,61,1,4.414973347970818,Metro,0.0,0.45195144
White,Female,Bachelors or Greater,28,2,4.993436230497612,Metro,0.0,0.39127383
Black,Male,Less than College ,78,1,4.051152522447381,Metro,0.0,0.20615147
White,Female,Bachelors or Greater,35,2,4.949390006644912,Metro,1.0,0.5133272
White,Male,Bachelors or Greater,52,1,5.113943352306837,Metro,1.0,0.6553089
White,Female,Bachelors or Greater,38,1,5.5820633629117085,Metro,0.0,0.47643533
White,Female,Less than College ,25,3,4.662757831681574,Metro,0.0,0.18892379
White,Male,Less than College ,49,6,5.339650157613684,Metro,0.0,0.6818592
White,Female,Less than College ,34,5,4.778151250383644,Metro,0.0,0.3468703
White,Male,Bachelors or Greater,85,1,5.008600171761918,Metro,0.0,0.65589553
White,Female,Less than College ,58,2,4.565847818673518,Metro,1.0,0.66040456
Black,Female,Less than College ,51,2,4.6020599913279625,Metro,0.0,0.34728977
White,Male,Bachelors or Greater,62,2,5.049218022670182,Metro,1.0,0.74704534
White,Female,Less than College ,41,6,4.226342087163631,Metro,0.0,0.38472405
White,Male,Less than College ,70,1,4.041392685158225,Metro,0.0,0.34658706
White,Female,Bachelors or Greater,40,2,4.90444504107691,Metro,0.0,0.42741588
White,Male,Bachelors or Greater,31,4,5.12057393120585,Metro,1.0,0.7773353
White,Female,Less than College ,72,1,4.7626785637274365,Metro,0.0,0.5952547
White,Female,Less than College ,46,3,4.301029995663981,Metro,0.0,0.42578933
White,Male,Bachelors or Greater,61,3,4.778151250383644,Metro,1.0,0.7006018
Black,Female,Less than College ,42,3,4.2552725051033065,Metro,0.0,0.17439722
White,Male,Bachelors or Greater,80,1,5.041392685158225,Metro,1.0,0.57727724
Black,Female,Less than College ,23,1,4.653212513775344,Metro,0.0,0.29541582
White,Female,Bachelors or Greater,29,1,4.3979400086720375,Metro,0.0,0.26002547
White,Female,Less than College ,70,4,4.2576785748691846,Metro,0.0,0.55341446
White,Male,Bachelors or Greater,85,1,5.008600171761918,Metro,0.0,0.65589553
White,Male,Less than College ,72,2,4.539076098792776,Metro,1.0,0.56922513
White,Female,Less than College ,66,1,4.089905111439398,Metro,0.0,0.36312443
Black,Female,Less than College ,23,3,4.401400540781544,Metro,0.0,0.3086611
Black,Male,Less than College ,54,2,4.342422680822207,Metro,0.0,0.30263454
White,Male,Bachelors or Greater,69,1,4.874771637184298,Metro,0.0,0.665962
White,Male,Less than College ,31,1,4.301029995663981,Metro,0.0,0.28868455
White,Female,Less than College ,80,1,4.328379603438738,Urban,0.0,0.69100523
White,Female,Bachelors or Greater,50,5,5.488550716500444,Metro,1.0,0.77747536
White,Female,Less than College ,22,3,4.886490725172482,Metro,0.0,0.17592636
White,Female,Less than College ,49,1,4.763427993562937,Metro,1.0,0.53811765
White,Male,Less than College ,28,2,4.792601781164967,Metro,1.0,0.50750446
White,Male,Less than College ,53,8,5.1702617153949575,Metro,1.0,0.69396955
White,Female,Bachelors or Greater,65,1,4.778151250383644,Metro,1.0,0.6639089
Black,Male,Less than College ,58,1,4.037426497940624,Urban,0.0,0.315979
White,Female,Less than College ,47,3,5.0,Urban,1.0,0.7495932
White,Female,Less than College ,51,3,4.963787827345556,Metro,1.0,0.6921786
White,Male,Less than College ,70,2,4.716337287889549,Metro,1.0,0.7583291
Black,Male,Bachelors or Greater,36,5,5.113943352306837,Metro,0.0,0.6810275
Black,Male,Less than College ,47,1,4.903089986991944,Metro,1.0,0.47449884
Black,Female,Less than College ,28,1,4.605305046141109,Metro,0.0,0.23665404
Black,Male,Less than College ,45,4,4.227886704613674,Metro,0.0,0.36015418
Black,Male,Less than College ,33,1,4.838849090737256,Metro,0.0,0.4219372
White,Male,Less than College ,27,9,5.321184027302314,Metro,0.0,0.30341664
White,Female,Bachelors or Greater,67,1,4.870403905279027,Metro,1.0,0.7487292
White,Male,Less than College ,36,5,4.653212513775344,Metro,0.0,0.38071626
Black,Female,Less than College ,85,1,4.383815365980431,Urban,0.0,0.6882793
White,Male,Less than College ,34,3,4.146128035678238,Urban,0.0,0.35227218
White,Female,Less than College ,27,2,5.260071387985075,Urban,0.0,0.54460984
Black,Female,Less than College ,41,1,4.158362492095249,Metro,0.0,0.3036595
White,Female,Less than College ,61,2,4.574031267727719,Metro,1.0,0.680002
Black,Female,Less than College ,63,6,4.3979400086720375,Metro,0.0,0.266644
Black,Male,Bachelors or Greater,57,2,5.1702617153949575,Metro,1.0,0.60692054
White,Female,Bachelors or Greater,22,1,4.7831886910752575,Metro,0.0,0.2433468
White,Male,Bachelors or Greater,61,4,4.845098040014257,Metro,0.0,0.5459466
White,Female,Less than College ,47,3,5.058426024457005,Metro,1.0,0.7232481
White,Female,Less than College ,77,1,4.633468455579586,Metro,1.0,0.675999
White,Female,Less than College ,61,1,4.57978359661681,Metro,0.0,0.5683598
White,Female,Less than College ,38,4,5.523226041965701,Metro,1.0,0.7274938
Black,Female,Less than College ,49,5,4.748188027006201,Urban,0.0,0.48645645
White,Female,Less than College ,62,3,4.392696953259666,Metro,1.0,0.52938986
